location,name,level,imgurl
Asia,Afghanistan,country,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg
Europe,Albania,country,https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg
Africa,Algeria,country,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg
Europe,Andorra,country,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg
Africa,Angola,country,https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg
North America,Antigua and Barbuda,country,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg
South America,Argentina,country,https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg
Europe,Armenia,country,https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg
Oceania,Australia,country,https://upload.wikimedia.org/wikipedia/commons/8/88/Flag_of_Australia_%28converted%29.svg
Europe,Austria,country,https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg
Europe,Azerbaijan,country,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg
North America,Bahamas,country,https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg
Asia,Bahrain,country,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg
Asia,Bangladesh,country,https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg
North America,Barbados,country,https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg
Europe,Belarus,country,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg
Europe,Belgium,country,https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg
North America,Belize,country,https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg
Africa,Benin,country,https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg
Asia,Bhutan,country,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg
South America,Bolivia,country,https://upload.wikimedia.org/wikipedia/commons/d/de/Flag_of_Bolivia_%28state%29.svg
Europe,Bosnia and Herzegovina,country,https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg
Africa,Botswana,country,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg
South America,Brazil,country,https://upload.wikimedia.org/wikipedia/en/0/05/Flag_of_Brazil.svg
Asia,Brunei,country,https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg
